% time	cellId	IMSI	frame	sframe	RNTI	mcs	size	ccId
0.345	1	10	35	6	11	28	277	0
0.345	1	1	35	6	12	28	277	0
0.345	1	5	35	6	15	28	277	0
0.345	1	8	35	6	16	28	277	0
0.345	1	6	35	6	1	28	277	0
0.345	1	3	35	6	2	28	277	0
0.345	1	4	35	6	3	28	277	0
0.345	1	9	35	6	4	28	277	0
0.273	2	1	28	4	1	28	2292	0
0.346	1	7	35	7	9	28	277	0
0.346	1	2	35	7	10	28	277	0
0.346	1	10	35	7	11	28	277	0
0.346	1	1	35	7	12	28	277	0
0.346	1	5	35	7	15	28	277	0
0.346	1	8	35	7	16	28	277	0
0.346	1	6	35	7	1	28	277	0
0.346	1	3	35	7	2	28	277	0
0.281	2	1	29	2	1	28	2292	0
0.283	2	1	29	4	1	28	2292	0
0.347	1	4	35	8	3	28	277	0
0.347	1	9	35	8	4	28	277	0
0.347	1	7	35	8	9	28	277	0
0.347	1	2	35	8	10	28	277	0
0.347	1	10	35	8	11	28	277	0
0.347	1	1	35	8	12	28	277	0
0.347	1	5	35	8	15	28	277	0
0.347	1	8	35	8	16	28	277	0
0.291	2	1	30	2	1	28	2292	0
0.348	1	6	35	9	1	28	277	0
0.348	1	3	35	9	2	28	277	0
0.348	1	4	35	9	3	28	277	0
0.348	1	9	35	9	4	28	277	0
0.348	1	7	35	9	9	28	277	0
0.348	1	2	35	9	10	28	277	0
0.348	1	10	35	9	11	28	277	0
0.348	1	1	35	9	12	28	277	0
0.293	2	1	30	4	1	28	2292	0
0.349	1	5	35	10	15	28	277	0
0.349	1	8	35	10	16	28	277	0
0.349	1	6	35	10	1	28	277	0
0.349	1	3	35	10	2	28	277	0
0.349	1	4	35	10	3	28	277	0
0.349	1	9	35	10	4	28	277	0
0.349	1	7	35	10	9	28	277	0
0.349	1	2	35	10	10	28	277	0
0.35	1	10	36	1	11	28	277	0
0.35	1	1	36	1	12	28	277	0
0.35	1	5	36	1	15	28	277	0
0.35	1	8	36	1	16	28	277	0
0.35	1	6	36	1	1	28	277	0
0.35	1	3	36	1	2	28	277	0
0.35	1	4	36	1	3	28	277	0
0.35	1	9	36	1	4	28	277	0
0.351	1	7	36	2	9	28	277	0
0.351	1	2	36	2	10	28	277	0
0.351	1	10	36	2	11	28	277	0
0.351	1	1	36	2	12	28	277	0
0.351	1	5	36	2	15	28	277	0
0.351	1	8	36	2	16	28	277	0
0.351	1	6	36	2	1	28	277	0
0.351	1	3	36	2	2	28	277	0
0.352	1	4	36	3	3	28	277	0
0.352	1	9	36	3	4	28	277	0
0.352	1	7	36	3	9	28	277	0
0.352	1	2	36	3	10	28	277	0
0.352	1	10	36	3	11	28	277	0
0.352	1	1	36	3	12	28	277	0
0.352	1	5	36	3	15	28	277	0
0.352	1	8	36	3	16	28	277	0
0.353	1	6	36	4	1	28	277	0
0.353	1	3	36	4	2	28	277	0
0.353	1	4	36	4	3	28	277	0
0.353	1	9	36	4	4	28	277	0
0.353	1	7	36	4	9	28	277	0
0.353	1	2	36	4	10	28	277	0
0.353	1	10	36	4	11	28	277	0
0.353	1	1	36	4	12	28	277	0
0.354	1	5	36	5	15	28	277	0
0.354	1	8	36	5	16	28	277	0
0.354	1	6	36	5	1	28	277	0
0.354	1	3	36	5	2	28	277	0
0.354	1	4	36	5	3	28	277	0
0.354	1	9	36	5	4	28	277	0
0.354	1	7	36	5	9	28	277	0
0.354	1	2	36	5	10	28	277	0
0.355	1	10	36	6	11	28	277	0
0.355	1	1	36	6	12	28	277	0
0.355	1	5	36	6	15	28	277	0
0.355	1	8	36	6	16	28	277	0
0.355	1	6	36	6	1	28	277	0
0.355	1	3	36	6	2	28	277	0
0.355	1	4	36	6	3	28	277	0
0.355	1	9	36	6	4	28	277	0
0.356	1	7	36	7	9	28	277	0
0.356	1	2	36	7	10	28	277	0
0.356	1	10	36	7	11	28	277	0
0.356	1	1	36	7	12	28	277	0
0.356	1	5	36	7	15	28	277	0
0.356	1	8	36	7	16	28	277	0
0.356	1	6	36	7	1	28	277	0
0.356	1	3	36	7	2	28	277	0
0.357	1	4	36	8	3	28	277	0
0.357	1	9	36	8	4	28	277	0
0.357	1	7	36	8	9	28	277	0
0.357	1	2	36	8	10	28	277	0
0.357	1	10	36	8	11	28	277	0
0.357	1	1	36	8	12	28	277	0
0.357	1	5	36	8	15	28	277	0
0.357	1	8	36	8	16	28	277	0
0.358	1	6	36	9	1	28	277	0
0.358	1	3	36	9	2	28	277	0
0.358	1	4	36	9	3	28	277	0
0.358	1	9	36	9	4	28	277	0
0.358	1	7	36	9	9	28	277	0
0.358	1	2	36	9	10	28	277	0
0.358	1	10	36	9	11	28	277	0
0.358	1	1	36	9	12	28	277	0
0.359	1	5	36	10	15	28	277	0
0.359	1	8	36	10	16	28	277	0
0.359	1	6	36	10	1	28	277	0
0.359	1	3	36	10	2	28	277	0
0.359	1	4	36	10	3	28	277	0
0.359	1	9	36	10	4	28	277	0
0.359	1	7	36	10	9	28	277	0
0.359	1	2	36	10	10	28	277	0
0.36	1	10	37	1	11	28	277	0
0.36	1	1	37	1	12	28	277	0
0.36	1	5	37	1	15	28	277	0
0.36	1	8	37	1	16	28	277	0
0.36	1	6	37	1	1	28	277	0
0.36	1	3	37	1	2	28	277	0
0.36	1	4	37	1	3	28	277	0
0.36	1	9	37	1	4	28	277	0
0.361	1	7	37	2	9	28	277	0
0.361	1	2	37	2	10	28	277	0
0.361	1	10	37	2	11	28	277	0
0.361	1	1	37	2	12	28	277	0
0.361	1	5	37	2	15	28	277	0
0.361	1	8	37	2	16	28	277	0
0.361	1	6	37	2	1	28	277	0
0.361	1	3	37	2	2	28	277	0
0.362	1	4	37	3	3	28	277	0
0.362	1	9	37	3	4	28	277	0
0.362	1	7	37	3	9	28	277	0
0.362	1	2	37	3	10	28	277	0
0.362	1	10	37	3	11	28	277	0
0.362	1	1	37	3	12	28	277	0
0.362	1	5	37	3	15	28	277	0
0.362	1	8	37	3	16	28	277	0
0.363	1	6	37	4	1	28	277	0
0.363	1	3	37	4	2	28	277	0
0.363	1	4	37	4	3	28	277	0
0.363	1	9	37	4	4	28	277	0
0.363	1	7	37	4	9	28	277	0
0.363	1	2	37	4	10	28	277	0
0.363	1	10	37	4	11	28	277	0
0.363	1	1	37	4	12	28	277	0
0.364	1	5	37	5	15	28	277	0
0.364	1	8	37	5	16	28	277	0
0.364	1	6	37	5	1	28	277	0
0.364	1	3	37	5	2	28	277	0
0.364	1	4	37	5	3	28	277	0
0.364	1	9	37	5	4	28	277	0
0.364	1	7	37	5	9	28	277	0
0.364	1	2	37	5	10	28	277	0
0.365	1	10	37	6	11	28	277	0
0.365	1	1	37	6	12	28	277	0
0.365	1	5	37	6	15	28	277	0
0.365	1	8	37	6	16	28	277	0
0.365	1	6	37	6	1	28	277	0
0.365	1	3	37	6	2	28	277	0
0.365	1	4	37	6	3	28	277	0
0.365	1	9	37	6	4	28	277	0
0.366	1	7	37	7	9	28	277	0
0.366	1	2	37	7	10	28	277	0
0.366	1	10	37	7	11	28	277	0
0.366	1	1	37	7	12	28	277	0
0.366	1	5	37	7	15	28	277	0
0.366	1	8	37	7	16	28	277	0
0.366	1	6	37	7	1	28	277	0
0.366	1	3	37	7	2	28	277	0
0.367	1	4	37	8	3	28	277	0
0.367	1	9	37	8	4	28	277	0
0.367	1	7	37	8	9	28	277	0
0.367	1	2	37	8	10	28	277	0
0.367	1	10	37	8	11	28	277	0
0.367	1	1	37	8	12	28	277	0
0.367	1	5	37	8	15	28	277	0
0.367	1	8	37	8	16	28	277	0
0.368	1	6	37	9	1	28	277	0
0.368	1	3	37	9	2	28	277	0
0.368	1	4	37	9	3	28	277	0
0.368	1	9	37	9	4	28	277	0
0.368	1	7	37	9	9	28	277	0
0.368	1	2	37	9	10	28	277	0
0.368	1	10	37	9	11	28	277	0
0.368	1	1	37	9	12	28	277	0
0.369	1	5	37	10	15	28	277	0
0.369	1	8	37	10	16	28	277	0
0.369	1	6	37	10	1	28	277	0
0.369	1	3	37	10	2	28	277	0
0.369	1	4	37	10	3	28	277	0
0.369	1	9	37	10	4	28	277	0
0.369	1	7	37	10	9	28	277	0
0.369	1	2	37	10	10	28	277	0
0.37	1	10	38	1	11	28	277	0
0.37	1	1	38	1	12	28	277	0
0.37	1	5	38	1	15	28	277	0
0.37	1	8	38	1	16	28	277	0
0.37	1	6	38	1	1	28	277	0
0.37	1	3	38	1	2	28	277	0
0.37	1	4	38	1	3	28	277	0
0.37	1	9	38	1	4	28	277	0
0.371	1	7	38	2	9	28	277	0
0.371	1	2	38	2	10	28	277	0
0.371	1	10	38	2	11	28	277	0
0.371	1	1	38	2	12	28	277	0
0.371	1	5	38	2	15	28	277	0
0.371	1	8	38	2	16	28	277	0
0.371	1	6	38	2	1	28	277	0
0.371	1	3	38	2	2	28	277	0
0.372	1	4	38	3	3	28	277	0
0.372	1	9	38	3	4	28	277	0
0.372	1	7	38	3	9	28	277	0
0.372	1	2	38	3	10	28	277	0
0.372	1	10	38	3	11	28	277	0
0.372	1	1	38	3	12	28	277	0
0.372	1	5	38	3	15	28	277	0
0.372	1	8	38	3	16	28	277	0
0.373	1	6	38	4	1	28	277	0
0.373	1	3	38	4	2	28	277	0
0.373	1	4	38	4	3	28	277	0
0.373	1	9	38	4	4	28	277	0
0.373	1	7	38	4	9	28	277	0
0.373	1	2	38	4	10	28	277	0
0.373	1	10	38	4	11	28	277	0
0.373	1	1	38	4	12	28	277	0
0.374	1	5	38	5	15	28	277	0
0.374	1	8	38	5	16	28	277	0
0.374	1	6	38	5	1	28	277	0
0.374	1	3	38	5	2	28	277	0
0.374	1	4	38	5	3	28	277	0
0.374	1	9	38	5	4	28	277	0
0.374	1	7	38	5	9	28	277	0
0.374	1	2	38	5	10	28	277	0
0.375	1	10	38	6	11	28	277	0
0.375	1	1	38	6	12	28	277	0
0.375	1	5	38	6	15	28	277	0
0.375	1	8	38	6	16	28	277	0
0.375	1	6	38	6	1	28	277	0
0.375	1	3	38	6	2	28	277	0
0.375	1	4	38	6	3	28	277	0
0.375	1	9	38	6	4	28	277	0
0.376	1	7	38	7	9	28	277	0
0.376	1	2	38	7	10	28	277	0
0.376	1	10	38	7	11	28	277	0
0.376	1	1	38	7	12	28	277	0
0.376	1	5	38	7	15	28	277	0
0.376	1	8	38	7	16	28	277	0
0.376	1	6	38	7	1	28	277	0
0.376	1	3	38	7	2	28	277	0
0.377	1	4	38	8	3	28	277	0
0.377	1	9	38	8	4	28	277	0
0.377	1	7	38	8	9	28	277	0
0.377	1	2	38	8	10	28	277	0
0.377	1	10	38	8	11	28	277	0
0.377	1	1	38	8	12	28	277	0
0.377	1	5	38	8	15	28	277	0
0.377	1	8	38	8	16	28	277	0
0.378	1	6	38	9	1	28	277	0
0.378	1	3	38	9	2	28	277	0
0.378	1	4	38	9	3	28	277	0
0.378	1	9	38	9	4	28	277	0
0.378	1	7	38	9	9	28	277	0
0.378	1	2	38	9	10	28	277	0
