% time	cellId	IMSI	RNTI	sinrLinear	componentCarrierId
37.443	1	5	3	15.9179	0
37.444	1	9	4	18.1275	0
37.445	1	6	5	1.9242	0
37.446	1	8	6	4.46179	0
37.447	1	3	7	12.1007	0
37.448	1	4	8	2.11418	0
37.449	1	1	9	29.7023	0
37.761	1	2	1	2.39149	0
37.762	1	7	2	1.62484	0
37.763	1	5	3	15.9179	0
37.764	1	9	4	18.1275	0
37.765	1	6	5	1.9242	0
37.766	1	8	6	4.46179	0
37.767	1	3	7	12.1007	0
37.768	1	4	8	2.11418	0
37.769	1	1	9	29.7023	0
38.081	1	2	1	2.39149	0
38.082	1	7	2	1.62484	0
38.083	1	5	3	15.9179	0
38.084	1	9	4	18.1275	0
38.085	1	6	5	1.9242	0
38.086	1	8	6	4.46179	0
38.087	1	3	7	12.1007	0
38.088	1	4	8	2.11418	0
38.089	1	1	9	29.7023	0
38.401	1	2	1	2.39149	0
38.402	1	7	2	1.62484	0
38.403	1	5	3	15.9179	0
38.404	1	9	4	18.1275	0
38.405	1	6	5	1.9242	0
38.406	1	8	6	4.46179	0
38.407	1	3	7	12.1007	0
38.408	1	4	8	2.11418	0
38.409	1	1	9	29.7023	0
38.721	1	2	1	2.39149	0
38.722	1	7	2	1.62484	0
38.723	1	5	3	15.9179	0
38.724	1	9	4	18.1275	0
38.725	1	6	5	1.9242	0
38.726	1	8	6	4.46179	0
38.727	1	3	7	12.1007	0
38.728	1	4	8	2.11418	0
38.729	1	1	9	29.7023	0
39.041	1	2	1	2.39149	0
39.042	1	7	2	1.62484	0
39.043	1	5	3	15.9179	0
39.044	1	9	4	18.1275	0
39.045	1	6	5	1.9242	0
39.046	1	8	6	4.46179	0
39.047	1	3	7	12.1007	0
39.048	1	4	8	2.11418	0
39.049	1	1	9	29.7023	0
39.361	1	2	1	2.39149	0
39.362	1	7	2	1.62484	0
39.363	1	5	3	15.9179	0
39.364	1	9	4	18.1275	0
39.365	1	6	5	1.9242	0
39.366	1	8	6	4.46179	0
39.367	1	3	7	12.1007	0
39.368	1	4	8	2.11418	0
39.369	1	1	9	29.7023	0
39.681	1	2	1	2.39149	0
39.682	1	7	2	1.62484	0
39.683	1	5	3	15.9179	0
39.684	1	9	4	18.1275	0
39.685	1	6	5	1.9242	0
39.686	1	8	6	4.46179	0
39.687	1	3	7	12.1007	0
39.688	1	4	8	2.11418	0
39.689	1	1	9	29.7023	0
40.001	1	2	1	2.39149	0
40.002	1	7	2	1.62484	0
40.003	1	5	3	15.9179	0
40.004	1	9	4	18.1275	0
40.005	1	6	5	1.9242	0
40.006	1	8	6	4.46179	0
40.007	1	3	7	12.1007	0
40.008	1	4	8	2.11418	0
40.009	1	1	9	29.7023	0
40.321	1	2	1	2.39149	0
40.322	1	7	2	1.62484	0
40.323	1	5	3	15.9179	0
40.324	1	9	4	18.1275	0
40.325	1	6	5	1.9242	0
40.326	1	8	6	4.46179	0
40.327	1	3	7	12.1007	0
40.328	1	4	8	2.11418	0
40.329	1	1	9	29.7023	0
40.641	1	2	1	2.39149	0
40.642	1	7	2	1.62484	0
40.643	1	5	3	15.9179	0
40.644	1	9	4	18.1275	0
40.645	1	6	5	1.9242	0
40.646	1	8	6	4.46179	0
40.647	1	3	7	12.1007	0
40.648	1	4	8	2.11418	0
40.649	1	1	9	29.7023	0
40.961	1	2	1	2.39149	0
40.962	1	7	2	1.62484	0
40.963	1	5	3	15.9179	0
40.964	1	9	4	18.1275	0
40.965	1	6	5	1.9242	0
40.966	1	8	6	4.46179	0
40.967	1	3	7	12.1007	0
40.968	1	4	8	2.11418	0
40.969	1	1	9	29.7023	0
41.281	1	2	1	2.39149	0
41.282	1	7	2	1.62484	0
41.283	1	5	3	15.9179	0
41.284	1	9	4	18.1275	0
41.285	1	6	5	1.9242	0
41.286	1	8	6	4.46179	0
41.287	1	3	7	12.1007	0
41.288	1	4	8	2.11418	0
41.289	1	1	9	29.7023	0
41.601	1	2	1	2.39149	0
41.602	1	7	2	1.62484	0
41.603	1	5	3	15.9179	0
41.604	1	9	4	18.1275	0
41.605	1	6	5	1.9242	0
41.606	1	8	6	4.46179	0
41.607	1	3	7	12.1007	0
41.608	1	4	8	2.11418	0
41.609	1	1	9	29.7023	0
41.921	1	2	1	2.39149	0
41.922	1	7	2	1.62484	0
41.923	1	5	3	15.9179	0
41.924	1	9	4	18.1275	0
41.925	1	6	5	1.9242	0
41.926	1	8	6	4.46179	0
41.927	1	3	7	12.1007	0
41.928	1	4	8	2.11418	0
41.929	1	1	9	29.7023	0
42.241	1	2	1	2.39149	0
42.242	1	7	2	1.62484	0
42.243	1	5	3	15.9179	0
42.244	1	9	4	18.1275	0
42.245	1	6	5	1.9242	0
42.246	1	8	6	4.46179	0
42.247	1	3	7	12.1007	0
42.248	1	4	8	2.11418	0
42.249	1	1	9	29.7023	0
42.561	1	2	1	2.39149	0
42.562	1	7	2	1.62484	0
42.563	1	5	3	15.9179	0
42.564	1	9	4	18.1275	0
42.565	1	6	5	1.9242	0
42.566	1	8	6	4.46179	0
42.567	1	3	7	12.1007	0
42.568	1	4	8	2.11418	0
42.569	1	1	9	29.7023	0
42.881	1	2	1	2.39149	0
42.882	1	7	2	1.62484	0
42.883	1	5	3	15.9179	0
42.884	1	9	4	18.1275	0
42.885	1	6	5	1.9242	0
42.886	1	8	6	4.46179	0
42.887	1	3	7	12.1007	0
42.888	1	4	8	2.11418	0
42.889	1	1	9	29.7023	0
43.201	1	2	1	2.39149	0
43.202	1	7	2	1.62484	0
43.203	1	5	3	15.9179	0
43.204	1	9	4	18.1275	0
43.205	1	6	5	1.9242	0
43.206	1	8	6	4.46179	0
43.207	1	3	7	12.1007	0
43.208	1	4	8	2.11418	0
43.209	1	1	9	29.7023	0
43.521	1	2	1	2.39149	0
43.522	1	7	2	1.62484	0
43.523	1	5	3	15.9179	0
43.524	1	9	4	18.1275	0
43.525	1	6	5	1.9242	0
43.526	1	8	6	4.46179	0
43.527	1	3	7	12.1007	0
43.528	1	4	8	2.11418	0
43.529	1	1	9	29.7023	0
43.841	1	2	1	2.39149	0
43.842	1	7	2	1.62484	0
43.843	1	5	3	15.9179	0
43.844	1	9	4	18.1275	0
43.845	1	6	5	1.9242	0
43.846	1	8	6	4.46179	0
43.847	1	3	7	12.1007	0
43.848	1	4	8	2.11418	0
43.849	1	1	9	29.7023	0
44.161	1	2	1	2.39149	0
44.162	1	7	2	1.62484	0
44.163	1	5	3	15.9179	0
44.164	1	9	4	18.1275	0
44.165	1	6	5	1.9242	0
44.166	1	8	6	4.46179	0
44.167	1	3	7	12.1007	0
44.168	1	4	8	2.11418	0
44.169	1	1	9	29.7023	0
44.481	1	2	1	2.39149	0
44.482	1	7	2	1.62484	0
44.483	1	5	3	15.9179	0
44.484	1	9	4	18.1275	0
44.485	1	6	5	1.9242	0
44.486	1	8	6	4.46179	0
44.487	1	3	7	12.1007	0
44.488	1	4	8	2.11418	0
44.489	1	1	9	29.7023	0
44.801	1	2	1	2.39149	0
44.802	1	7	2	1.62484	0
44.803	1	5	3	15.9179	0
44.804	1	9	4	18.1275	0
44.805	1	6	5	1.9242	0
44.806	1	8	6	4.46179	0
44.807	1	3	7	12.1007	0
44.808	1	4	8	2.11418	0
